# retired term	replaced by	retired	why
#
# Terminology a structural decision removed. checks/retired.py freezes the count
# per file, so a NEW occurrence fails the build. Historical mentions are declared
# in checks/retired-allow.tsv — a decision record that cannot say what it replaced
# is a worse document, and the point is not to ban the words but to notice them
# reappearing somewhere that used to be current.
seat inversion	the seat's reweighting	2026-08-04	Part VII's premise; ch. 32 found no inversions exist to be had
invert by seat	reweight by seat	2026-08-04	same decision, in the spine arrow — where it survived the first fix
false until inverted	what is scarce, visible, presumed	2026-08-04	same decision, in the Part VII spine row
chapters that invert	chapters this seat changes	2026-08-04	same decision, in chapter prose
unreadable until	diagnostically premature	2026-08-04	the spine's original overclaim; Dota is a web, not a chain
The Item You Want and the Item That Wins	Every Item Is a Forecast	2026-08-04	ch. 12 retitled; old title promised a contrast the evidence cannot deliver
Roshan and the Two-Minute Window	The Objective Window	2026-08-04	ch. 23 retitled; 7.41 moved the geography, the window is the concept
The Queue Is Part of the Game	Six Games a Week	2026-08-04	ch. 27 retitled and promoted from lifestyle note to practice protocol
until target-bracket evidence supports it	the thesis is conditional; efficacy is untested	2026-08-04	specified a test that could never run — match records hold no reader demographics
earlier chapters are <em>false</em>	what is scarce, visible, presumed	2026-08-04	same Part VII decision, in a phrasing the first three retired terms did not cover — found on the live home page a second time
contains no positions	places deaths inside fights, and reconstructs vision	2026-08-04	false — 30 of 59 deaths carry coordinates and observer count is reconstructable at any moment; the claim was live on a published page for a day
leaving was still free	the exit that remained, its price, its trigger	2026-08-04	ch. 04 argues leaving is never free; the phrase survived in ch. 01 in a forward reference written before ch. 04 existed
The Thirty Seconds Before	What Counts as One Fight	2026-08-04	ch. 03 retitled before drafting; the old title promised a second-by-second reconstruction the record cannot supply — no hero positions over time, no health, no cooldowns
